"Places","SearchTerm","Latitude","Longitude"
"Crawford County, IA","Crawford+County,+IA",42.0372,-95.38184
"Dallas County, IA","Dallas+County,+IA",41.68317,-94.04742
"Davis County, IA","Davis+County,+IA",40.74527,-92.4084
"Decatur County, IA","Decatur+County,+IA",40.7367,-93.78592
"Delaware County, IA","Delaware+County,+IA",42.47083,-91.36967
"Des Moines County, IA","Des+Moines+County,+IA",40.88545,-91.19921
"Dickinson County, IA","Dickinson+County,+IA",43.37804,-95.15087
"Dubuque County, IA","Dubuque+County,+IA",42.48472,-90.8954
"Emmet County, IA","Emmet+County,+IA",43.378,-94.67837
"Fayette County, IA","Fayette+County,+IA",42.86228,-91.84438
"Floyd County, IA","Floyd+County,+IA",43.06001,-92.78877
"Franklin County, IA","Franklin+County,+IA",42.7326,-93.2624
"Fremont County, IA","Fremont+County,+IA",40.74109,-95.63646
"Greene County, IA","Greene+County,+IA",42.03641,-94.39687
"Grundy County, IA","Grundy+County,+IA",42.38305,-92.7681
"Guthrie County, IA","Guthrie+County,+IA",41.68346,-94.51227
"Hamilton County, IA","Hamilton+County,+IA",42.38366,-93.69738
"Hancock County, IA","Hancock+County,+IA",43.08166,-93.73409
"Hardin County, IA","Hardin+County,+IA",42.38316,-93.23261
"Harrison County, IA","Harrison+County,+IA",41.686,-95.83982
"Henry County, IA","Henry+County,+IA",40.98801,-91.54474
"Howard County, IA","Howard+County,+IA",43.35674,-92.31722
"Humboldt County, IA","Humboldt+County,+IA",42.77647,-94.2073
"Ida County, IA","Ida+County,+IA",42.38632,-95.49623
"Iowa County, IA","Iowa+County,+IA",41.6864,-92.06707
"Jackson County, IA","Jackson+County,+IA",42.20749,-90.62903
"Jasper County, IA","Jasper+County,+IA",41.6855,-93.05744
"Jefferson County, IA","Jefferson+County,+IA",41.03177,-91.94865
"Johnson County, IA","Johnson+County,+IA",41.64261,-91.59984
"Jones County, IA","Jones+County,+IA",42.12134,-91.13141
"Keokuk County, IA","Keokuk+County,+IA",41.33639,-92.17892
"Kossuth County, IA","Kossuth+County,+IA",43.20408,-94.20645
"Lee County, IA","Lee+County,+IA",40.59599,-91.53873
"Linn County, IA","Linn+County,+IA",42.07928,-91.59984
"Louisa County, IA","Louisa+County,+IA",41.2475,-91.29985
"Lucas County, IA","Lucas+County,+IA",41.02945,-93.32768
"Lyon County, IA","Lyon+County,+IA",43.37885,-96.19228
"Madison County, IA","Madison+County,+IA",41.33425,-94.01575
"Mahaska County, IA","Mahaska+County,+IA",41.33529,-92.64079
"Marion County, IA","Marion+County,+IA",41.33463,-93.09952
"Marshall County, IA","Marshall+County,+IA",42.03621,-92.99901
"Mills County, IA","Mills+County,+IA",41.03069,-95.62169
"Mitchell County, IA","Mitchell+County,+IA",43.35636,-92.78914
"Monona County, IA","Monona+County,+IA",42.039,-95.95155
"Monroe County, IA","Monroe+County,+IA",41.02993,-92.86907
"Montgomery County, IA","Montgomery+County,+IA",41.03033,-95.15621
"Muscatine County, IA","Muscatine+County,+IA",41.46582,-91.07699
"O'Brien County, IA","O'Brien+County,+IA",43.08377,-95.62416
"Osceola County, IA","Osceola+County,+IA",43.37772,-95.624
"Page County, IA","Page+County,+IA",40.7383,-95.1568
"Palo Alto County, IA","Palo+Alto+County,+IA",43.0817,-94.6781
"Plymouth County, IA","Plymouth+County,+IA",42.73539,-96.24539
"Pocahontas County, IA","Pocahontas+County,+IA",42.7342,-94.67854
"Polk County, IA","Polk+County,+IA",41.67262,-93.58146
"Pottawattamie County, IA","Pottawattamie+County,+IA",41.33298,-95.55073
"Poweshiek County, IA","Poweshiek+County,+IA",41.68573,-92.53322
"Ringgold County, IA","Ringgold+County,+IA",40.73527,-94.24343
"Sac County, IA","Sac+County,+IA",42.38575,-95.08994
"Scott County, IA","Scott+County,+IA",41.613,-90.62033
"Shelby County, IA","Shelby+County,+IA",41.68453,-95.32539
"Sioux County, IA","Sioux+County,+IA",43.08444,-96.15718
"Story County, IA","Story+County,+IA",42.03605,-93.46521
"Tama County, IA","Tama+County,+IA",42.07987,-92.53285
"Taylor County, IA","Taylor+County,+IA",40.73574,-94.69992
"Union County, IA","Union+County,+IA",41.02737,-94.24289
"Van Buren County, IA","Van+Buren+County,+IA",40.75,-91.94848
"Wapello County, IA","Wapello+County,+IA",41.02991,-92.40954
"Warren County, IA","Warren+County,+IA",41.33624,-93.55922
"Washington County, IA","Washington+County,+IA",41.3366,-91.71578
"Wayne County, IA","Wayne+County,+IA",40.73915,-93.32699
"Webster County, IA","Webster+County,+IA",42.42714,-94.16464
"Winnebago County, IA","Winnebago+County,+IA",43.3774,-93.73422
"Winneshiek County, IA","Winneshiek+County,+IA",43.2912,-91.84257
"Woodbury County, IA","Woodbury+County,+IA",42.38671,-96.0408
"Worth County, IA","Worth+County,+IA",43.3774,-93.26085
"Wright County, IA","Wright+County,+IA",42.73312,-93.7351
"Allen County, KS","Allen+County,+KS",37.88549,-95.29961
"Anderson County, KS","Anderson+County,+KS",38.21402,-95.29677
"Atchison County, KS","Atchison+County,+KS",39.53582,-95.33762
"Barber County, KS","Barber+County,+KS",37.23459,-98.67544
"Barton County, KS","Barton+County,+KS",38.47877,-98.75671
"Bourbon County, KS","Bourbon+County,+KS",37.85545,-94.8481
"Brown County, KS","Brown+County,+KS",39.82659,-95.56429
"Butler County, KS","Butler+County,+KS",37.78158,-96.83958
"Chase County, KS","Chase+County,+KS",38.30405,-96.59651
"Chautauqua County, KS","Chautauqua+County,+KS",37.15073,-96.24489
"Cherokee County, KS","Cherokee+County,+KS",37.16922,-94.84639
"Cheyenne County, KS","Cheyenne+County,+KS",39.78572,-101.73078
"Clark County, KS","Clark+County,+KS",37.23731,-99.818
"Clay County, KS","Clay+County,+KS",39.34951,-97.16518
"Cloud County, KS","Cloud+County,+KS",39.48003,-97.64884
"Coffey County, KS","Coffey+County,+KS",38.23615,-95.73786
"Comanche County, KS","Comanche+County,+KS",37.1918,-99.27269
"Cowley County, KS","Cowley+County,+KS",37.23778,-96.83754
"Crawford County, KS","Crawford+County,+KS",37.50655,-94.85259
"Decatur County, KS","Decatur+County,+KS",39.7846,-100.46034
"Dickinson County, KS","Dickinson+County,+KS",38.87134,-97.14939
"Doniphan County, KS","Doniphan+County,+KS",39.80744,-95.10802
"Douglas County, KS","Douglas+County,+KS",38.90386,-95.27836
"Edwards County, KS","Edwards+County,+KS",37.91058,-99.29611
"Elk County, KS","Elk+County,+KS",37.4532,-96.24401
"Ellis County, KS","Ellis+County,+KS",38.91492,-99.31726
"Ellsworth County, KS","Ellsworth+County,+KS",38.69642,-98.20252
"Finney County, KS","Finney+County,+KS",38.00076,-100.8836
"Ford County, KS","Ford+County,+KS",37.69052,-99.88697
"Franklin County, KS","Franklin+County,+KS",38.56417,-95.2869
"Geary County, KS","Geary+County,+KS",39.04488,-96.73213
"Gove County, KS","Gove+County,+KS",38.9154,-100.48312
"Graham County, KS","Graham+County,+KS",39.3496,-99.88293
"Grant County, KS","Grant+County,+KS",37.56205,-101.30828
"Gray County, KS","Gray+County,+KS",37.73858,-100.43359
"Greeley County, KS","Greeley+County,+KS",38.48101,-101.80611
"Greenwood County, KS","Greenwood+County,+KS",37.88833,-96.24173
"Hamilton County, KS","Hamilton+County,+KS",37.99977,-101.79294
"Harper County, KS","Harper+County,+KS",37.1921,-98.07543
"Harvey County, KS","Harvey+County,+KS",38.04354,-97.42735
"Haskell County, KS","Haskell+County,+KS",37.56237,-100.87132
"Hodgeman County, KS","Hodgeman+County,+KS",38.08754,-99.89754
"Jackson County, KS","Jackson+County,+KS",39.43471,-95.80271
"Jefferson County, KS","Jefferson+County,+KS",39.22626,-95.38487
"Jewell County, KS","Jewell+County,+KS",39.78474,-98.21861
"Johnson County, KS","Johnson+County,+KS",38.89996,-94.83197
"Kearny County, KS","Kearny+County,+KS",38.00034,-101.32214
"Kingman County, KS","Kingman+County,+KS",37.55889,-98.13626
"Kiowa County, KS","Kiowa+County,+KS",37.55792,-99.28559
"Labette County, KS","Labette+County,+KS",37.19192,-95.29802
"Lane County, KS","Lane+County,+KS",38.48126,-100.46673
"Leavenworth County, KS","Leavenworth+County,+KS",39.18713,-95.04044
"Lincoln County, KS","Lincoln+County,+KS",39.04505,-98.20667
"Linn County, KS","Linn+County,+KS",38.21332,-94.84435
"Logan County, KS","Logan+County,+KS",38.91734,-101.14814
"Lyon County, KS","Lyon+County,+KS",38.4551,-96.15226
"McPherson County, KS","McPherson+County,+KS",38.39174,-97.64822
"Marion County, KS","Marion+County,+KS",38.34762,-97.10468
"Marshall County, KS","Marshall+County,+KS",39.78378,-96.52309
"Meade County, KS","Meade+County,+KS",37.23766,-100.36336
"Miami County, KS","Miami+County,+KS",38.56363,-94.83848
"Mitchell County, KS","Mitchell+County,+KS",39.3933,-98.20961
"Montgomery County, KS","Montgomery+County,+KS",37.19285,-95.74279
"Morris County, KS","Morris+County,+KS",38.69594,-96.64165
"Morton County, KS","Morton+County,+KS",37.19113,-101.79885
"Nemaha County, KS","Nemaha+County,+KS",39.78345,-96.01423
"Neosho County, KS","Neosho+County,+KS",37.55903,-95.30683
"Ness County, KS","Ness+County,+KS",38.47979,-99.91654
"Norton County, KS","Norton+County,+KS",39.78436,-99.90381
"Osage County, KS","Osage+County,+KS",38.65181,-95.72918
"Osborne County, KS","Osborne+County,+KS",39.3504,-98.76827
"Ottawa County, KS","Ottawa+County,+KS",39.13229,-97.6506
"Pawnee County, KS","Pawnee+County,+KS",38.17527,-99.24107
"Phillips County, KS","Phillips+County,+KS",39.78475,-99.34699
"Pottawatomie County, KS","Pottawatomie+County,+KS",39.34664,-96.35403
"Pratt County, KS","Pratt+County,+KS",37.64781,-98.74008
"Rawlins County, KS","Rawlins+County,+KS",39.78528,-101.07543
"Reno County, KS","Reno+County,+KS",37.95319,-98.08709
"Republic County, KS","Republic+County,+KS",39.82781,-97.65105
"Rice County, KS","Rice+County,+KS",38.34068,-98.20223
"Riley County, KS","Riley+County,+KS",39.30505,-96.80111
"Rooks County, KS","Rooks+County,+KS",39.35027,-99.32505
"Rush County, KS","Rush+County,+KS",38.52271,-99.3096
"Russell County, KS","Russell+County,+KS",38.91503,-98.76227
"Saline County, KS","Saline+County,+KS",38.78363,-97.65012
"Scott County, KS","Scott+County,+KS",38.48239,-100.90709
"Sedgwick County, KS","Sedgwick+County,+KS",37.69348,-97.48022
"Seward County, KS","Seward+County,+KS",37.19295,-100.85153
"Shawnee County, KS","Shawnee+County,+KS",39.04281,-95.7241
"Sheridan County, KS","Sheridan+County,+KS",39.35005,-100.44172
"Sherman County, KS","Sherman+County,+KS",39.3508,-101.71987
"Smith County, KS","Smith+County,+KS",39.785,-98.78533
"Stafford County, KS","Stafford+County,+KS",38.0431,-98.69275
"Stanton County, KS","Stanton+County,+KS",37.56346,-101.7841
"Stevens County, KS","Stevens+County,+KS",37.19187,-101.31174
"Sumner County, KS","Sumner+County,+KS",37.23794,-97.47616
"Thomas County, KS","Thomas+County,+KS",39.35071,-101.05591
"Trego County, KS","Trego+County,+KS",38.91439,-99.873
"Wabaunsee County, KS","Wabaunsee+County,+KS",38.97572,-96.22415
"Wallace County, KS","Wallace+County,+KS",38.91619,-101.76343
"Washington County, KS","Washington+County,+KS",39.78414,-97.08764
"Wichita County, KS","Wichita+County,+KS",38.48214,-101.34749
"Wilson County, KS","Wilson+County,+KS",37.55925,-95.74329
"Woodson County, KS","Woodson+County,+KS",37.88648,-95.73893
"Wyandotte County, KS","Wyandotte+County,+KS",39.09708,-94.75793
"Adair County, KY","Adair+County,+KY",37.11863,-85.2999
"Allen County, KY","Allen+County,+KY",36.78214,-86.2158
"Anderson County, KY","Anderson+County,+KY",38.00691,-84.98003
"Ballard County, KY","Ballard+County,+KY",37.07273,-89.01814
"Barren County, KY","Barren+County,+KY",36.94626,-85.9539
"Bath County, KY","Bath+County,+KY",38.14761,-83.7754
"Bell County, KY","Bell+County,+KY",36.76908,-83.64402
"Boone County, KY","Boone+County,+KY",38.96267,-84.72095
"Bourbon County, KY","Bourbon+County,+KY",38.21931,-84.22382
"Boyd County, KY","Boyd+County,+KY",38.37014,-82.69894
"Boyle County, KY","Boyle+County,+KY",37.62464,-84.86071
"Bracken County, KY","Bracken+County,+KY",38.68858,-84.08167
"Breathitt County, KY","Breathitt+County,+KY",37.51493,-83.33527
"Breckinridge County, KY","Breckinridge+County,+KY",37.80219,-86.41534
"Bullitt County, KY","Bullitt+County,+KY",37.96211,-85.71573
"Butler County, KY","Butler+County,+KY",37.19738,-86.65762
"Caldwell County, KY","Caldwell+County,+KY",37.16518,-87.87062
"Calloway County, KY","Calloway+County,+KY",36.62373,-88.27036
"Campbell County, KY","Campbell+County,+KY",38.96389,-84.36644
"Carlisle County, KY","Carlisle+County,+KY",36.86314,-88.97153
"Carroll County, KY","Carroll+County,+KY",38.6708,-85.11107
"Carter County, KY","Carter+County,+KY",38.33635,-83.00864
"Casey County, KY","Casey+County,+KY",37.32688,-84.93367
"Christian County, KY","Christian+County,+KY",36.89821,-87.47988
"Clark County, KY","Clark+County,+KY",37.96849,-84.15579
"Clay County, KY","Clay+County,+KY",37.14766,-83.74809
"Clinton County, KY","Clinton+County,+KY",36.75187,-85.12491
"Crittenden County, KY","Crittenden+County,+KY",37.33657,-88.08532
"Cumberland County, KY","Cumberland+County,+KY",36.77828,-85.40832
"Daviess County, KY","Daviess+County,+KY",37.74544,-87.0691
"Edmonson County, KY","Edmonson+County,+KY",37.19697,-86.23196
"Elliott County, KY","Elliott+County,+KY",38.13164,-83.06273
"Estill County, KY","Estill+County,+KY",37.69791,-83.93089
"Fayette County, KY","Fayette+County,+KY",38.02831,-84.47151
"Fleming County, KY","Fleming+County,+KY",38.34803,-83.6783
"Floyd County, KY","Floyd+County,+KY",37.52072,-82.75888
"Franklin County, KY","Franklin+County,+KY",38.234,-84.86655
"Fulton County, KY","Fulton+County,+KY",36.57455,-89.06083
"Gallatin County, KY","Gallatin+County,+KY",38.76077,-84.9025
"Garrard County, KY","Garrard+County,+KY",37.65139,-84.54981
"Grant County, KY","Grant+County,+KY",38.63827,-84.63776
"Graves County, KY","Graves+County,+KY",36.72397,-88.65218
"Grayson County, KY","Grayson+County,+KY",37.47207,-86.34953
"Green County, KY","Green+County,+KY",37.29063,-85.55373
"Greenup County, KY","Greenup+County,+KY",38.56516,-82.95136
"Hancock County, KY","Hancock+County,+KY",37.8273,-86.75746
"Hardin County, KY","Hardin+County,+KY",37.72263,-85.94209
"Harlan County, KY","Harlan+County,+KY",36.84281,-83.2803
"Harrison County, KY","Harrison+County,+KY",38.43008,-84.32826
"Hart County, KY","Hart+County,+KY",37.29907,-85.90835
"Henderson County, KY","Henderson+County,+KY",37.80695,-87.57774
"Henry County, KY","Henry+County,+KY",38.46619,-85.14613
"Hickman County, KY","Hickman+County,+KY",36.64989,-88.99134
"Hopkins County, KY","Hopkins+County,+KY",37.33784,-87.58472
"Jackson County, KY","Jackson+County,+KY",37.4158,-83.99648
"Jefferson County, KY","Jefferson+County,+KY",38.18872,-85.65507
"Jessamine County, KY","Jessamine+County,+KY",37.86617,-84.57191
"Johnson County, KY","Johnson+County,+KY",37.85179,-82.83341
"Kenton County, KY","Kenton+County,+KY",38.945,-84.53532
"Knott County, KY","Knott+County,+KY",37.34928,-82.93792
"Knox County, KY","Knox+County,+KY",36.8712,-83.85495
"Larue County, KY","Larue+County,+KY",37.57707,-85.71218
"Laurel County, KY","Laurel+County,+KY",37.13743,-84.11519
"Lawrence County, KY","Lawrence+County,+KY",38.07406,-82.75099
"Lee County, KY","Lee+County,+KY",37.60328,-83.70019
"Leslie County, KY","Leslie+County,+KY",37.10181,-83.35166
"Letcher County, KY","Letcher+County,+KY",37.11369,-82.89295
"Lewis County, KY","Lewis+County,+KY",38.52186,-83.38839
"Lincoln County, KY","Lincoln+County,+KY",37.43927,-84.65885
"Livingston County, KY","Livingston+County,+KY",37.20342,-88.32655
"Logan County, KY","Logan+County,+KY",36.85817,-86.86451
"Lyon County, KY","Lyon+County,+KY",37.02343,-88.08052
"McCracken County, KY","McCracken+County,+KY",37.08532,-88.72376
"McCreary County, KY","McCreary+County,+KY",36.77741,-84.49038
"McLean County, KY","McLean+County,+KY",37.53185,-87.21135
"Madison County, KY","Madison+County,+KY",37.71636,-84.29094
"Magoffin County, KY","Magoffin+County,+KY",37.6905,-83.09692
"Marion County, KY","Marion+County,+KY",37.5713,-85.27425
"Marshall County, KY","Marshall+County,+KY",36.90519,-88.33287
"Martin County, KY","Martin+County,+KY",37.81564,-82.52597
"Mason County, KY","Mason+County,+KY",38.61222,-83.80386
"Meade County, KY","Meade+County,+KY",37.99884,-86.25223
"Menifee County, KY","Menifee+County,+KY",37.93851,-83.61106
"Mercer County, KY","Mercer+County,+KY",37.82432,-84.86767
"Metcalfe County, KY","Metcalfe+County,+KY",37.00023,-85.62257
"Monroe County, KY","Monroe+County,+KY",36.72844,-85.71872
"Montgomery County, KY","Montgomery+County,+KY",38.04608,-83.91978
"Morgan County, KY","Morgan+County,+KY",37.91398,-83.2228
"Muhlenberg County, KY","Muhlenberg+County,+KY",37.22831,-87.13711
"Nelson County, KY","Nelson+County,+KY",37.75682,-85.52945
"Nicholas County, KY","Nicholas+County,+KY",38.32632,-83.99726
"Ohio County, KY","Ohio+County,+KY",37.47494,-86.87444
"Oldham County, KY","Oldham+County,+KY",38.4047,-85.47691
"Owen County, KY","Owen+County,+KY",38.53158,-84.84655
"Owsley County, KY","Owsley+County,+KY",37.39852,-83.68483
"Pendleton County, KY","Pendleton+County,+KY",38.70204,-84.36637
"Perry County, KY","Perry+County,+KY",37.21768,-83.17199
"Pike County, KY","Pike+County,+KY",37.47041,-82.3252
"Powell County, KY","Powell+County,+KY",37.82496,-83.79677
"Pulaski County, KY","Pulaski+County,+KY",37.11135,-84.5966
"Robertson County, KY","Robertson+County,+KY",38.51544,-84.06621
"Rockcastle County, KY","Rockcastle+County,+KY",37.3457,-84.31528
"Rowan County, KY","Rowan+County,+KY",38.20667,-83.44246
"Russell County, KY","Russell+County,+KY",37.00664,-85.02786
"Scott County, KY","Scott+County,+KY",38.3019,-84.58624
"Shelby County, KY","Shelby+County,+KY",38.19751,-85.21033
"Simpson County, KY","Simpson+County,+KY",36.75835,-86.57341
"Spencer County, KY","Spencer+County,+KY",38.04361,-85.30702
"Taylor County, KY","Taylor+County,+KY",37.33753,-85.30299
"Todd County, KY","Todd+County,+KY",36.85853,-87.17724
"Trigg County, KY","Trigg+County,+KY",36.81773,-87.90411
"Trimble County, KY","Trimble+County,+KY",38.61494,-85.33242
"Union County, KY","Union+County,+KY",37.68583,-87.94625
"Warren County, KY","Warren+County,+KY",36.98343,-86.40578
"Washington County, KY","Washington+County,+KY",37.77394,-85.18229
"Wayne County, KY","Wayne+County,+KY",36.79991,-84.81559
"Webster County, KY","Webster+County,+KY",37.49903,-87.6958
"Whitley County, KY","Whitley+County,+KY",36.7804,-84.16351
"Wolfe County, KY","Wolfe+County,+KY",37.74025,-83.48886
"Woodford County, KY","Woodford+County,+KY",38.0212,-84.74335
"Acadia Parish, LA","Acadia+Parish,+LA",30.31987,-92.32615
"Allen Parish, LA","Allen+Parish,+LA",31.8928,-93.39904
"Ascension Parish, LA","Ascension+Parish,+LA",33.65385,-117.80657
"Assumption Parish, LA","Assumption+Parish,+LA",37.72204,-122.14155
"Avoyelles Parish, LA","Avoyelles+Parish,+LA",NA,NA
"Beauregard Parish, LA","Beauregard+Parish,+LA",31.32459,-92.40816
"Bienville Parish, LA","Bienville+Parish,+LA",NA,NA
"Bossier Parish, LA","Bossier+Parish,+LA",32.37048,-93.43334
"Caddo Parish, LA","Caddo+Parish,+LA",32.42632,-93.75372
"Calcasieu Parish, LA","Calcasieu+Parish,+LA",30.96586,-92.5819
"Caldwell Parish, LA","Caldwell+Parish,+LA",32.25082,-91.99762
"Cameron Parish, LA","Cameron+Parish,+LA",29.78893,-93.74926
"Catahoula Parish, LA","Catahoula+Parish,+LA",30.21411,-91.70986
"Claiborne Parish, LA","Claiborne+Parish,+LA",32.75954,-92.79659
"Concordia Parish, LA","Concordia+Parish,+LA",-27.23174,-52.01125
"De Soto Parish, LA","De+Soto+Parish,+LA",31.84476,-93.80545
"East Baton Rouge Parish, LA","East+Baton+Rouge+Parish,+LA",30.43491,-91.24183
"East Carroll Parish, LA","East+Carroll+Parish,+LA",32.53784,-91.15194
"East Feliciana Parish, LA","East+Feliciana+Parish,+LA",NA,NA
"Evangeline Parish, LA","Evangeline+Parish,+LA",46.22282,-64.69615
"Franklin Parish, LA","Franklin+Parish,+LA",32.40553,-91.52478
"Grant Parish, LA","Grant+Parish,+LA",31.52014,-92.7175
"Iberia Parish, LA","Iberia+Parish,+LA",NA,NA
"Iberville Parish, LA","Iberville+Parish,+LA",30.49593,-91.52088
"Jackson Parish, LA","Jackson+Parish,+LA",NA,NA
"Jefferson Parish, LA","Jefferson+Parish,+LA",36.10739,-83.48406
"Jefferson Davis Parish, LA","Jefferson+Davis+Parish,+LA",30.43761,-92.78195
"Lafayette Parish, LA","Lafayette+Parish,+LA",30.26747,-92.10163
"Lafourche Parish, LA","Lafourche+Parish,+LA",29.79798,-90.85731
"La Salle Parish, LA","La+Salle+Parish,+LA",NA,NA
"Lincoln Parish, LA","Lincoln+Parish,+LA",32.58761,-92.60725
"Livingston Parish, LA","Livingston+Parish,+LA",30.81247,-94.74491
"Madison Parish, LA","Madison+Parish,+LA",32.42165,-91.17374
"Morehouse Parish, LA","Morehouse+Parish,+LA",32.76947,-91.9506
"Natchitoches Parish, LA","Natchitoches+Parish,+LA",31.67066,-93.11675
"Orleans Parish, LA","Orleans+Parish,+LA",48.82289,2.32609
"Ouachita Parish, LA","Ouachita+Parish,+LA",32.72602,-92.07065
"Plaquemines Parish, LA","Plaquemines+Parish,+LA",30.28903,-91.23503
"Pointe Coupee Parish, LA","Pointe+Coupee+Parish,+LA",30.49729,-91.51821
"Rapides Parish, LA","Rapides+Parish,+LA",31.3717,-92.91345
"Red River Parish, LA","Red+River+Parish,+LA",NA,NA
"Richland Parish, LA","Richland+Parish,+LA",32.40553,-91.52478
"Sabine Parish, LA","Sabine+Parish,+LA",31.41918,-93.23616
"St. Bernard Parish, LA","St.+Bernard+Parish,+LA",29.95389,-89.99393
"St. Charles Parish, LA","St.+Charles+Parish,+LA",48.84735,2.28616
"St. Helena Parish, LA","St.+Helena+Parish,+LA",NA,NA
"St. James Parish, LA","St.+James+Parish,+LA",48.87758,2.25693
"St. John the Baptist Parish, LA","St.+John+the+Baptist+Parish,+LA",30.07106,-90.49926
"St. Landry Parish, LA","St.+Landry+Parish,+LA",30.37706,-92.1038
"St. Martin Parish, LA","St.+Martin+Parish,+LA",45.42309,-65.58997
"St. Mary Parish, LA","St.+Mary+Parish,+LA",NA,NA
"St. Tammany Parish, LA","St.+Tammany+Parish,+LA",30.68804,-90.11992
"Tangipahoa Parish, LA","Tangipahoa+Parish,+LA",30.87487,-90.51185
"Tensas Parish, LA","Tensas+Parish,+LA",NA,NA
"Terrebonne Parish, LA","Terrebonne+Parish,+LA",29.57451,-90.69443
"Union Parish, LA","Union+Parish,+LA",32.76419,-92.70453
"Vermilion Parish, LA","Vermilion+Parish,+LA",NA,NA
"Vernon Parish, LA","Vernon+Parish,+LA",30.97886,-93.06472
"Washington Parish, LA","Washington+Parish,+LA",30.93532,-89.92919
"Webster Parish, LA","Webster+Parish,+LA",32.48266,-93.426
"West Baton Rouge Parish, LA","West+Baton+Rouge+Parish,+LA",30.43491,-91.24183
"West Carroll Parish, LA","West+Carroll+Parish,+LA",46.10414,-64.97461
"West Feliciana Parish, LA","West+Feliciana+Parish,+LA",NA,NA
"Winn Parish, LA","Winn+Parish,+LA",NA,NA
"Androscoggin County, ME","Androscoggin+County,+ME",44.19706,-70.20268
"Aroostook County, ME","Aroostook+County,+ME",46.51636,-68.30376
"Cumberland County, ME","Cumberland+County,+ME",43.84919,-70.33455
"Franklin County, ME","Franklin+County,+ME",45.06322,-70.4655
"Hancock County, ME","Hancock+County,+ME",44.67028,-68.37682
"Kennebec County, ME","Kennebec+County,+ME",44.41409,-69.78977
"Knox County, ME","Knox+County,+ME",44.07961,-68.92074
"Lincoln County, ME","Lincoln+County,+ME",44.06061,-69.53408
"Oxford County, ME","Oxford+County,+ME",44.56618,-70.65526
"Penobscot County, ME","Penobscot+County,+ME",45.51989,-68.43245
"Piscataquis County, ME","Piscataquis+County,+ME",45.79253,-69.27223
"Sagadahoc County, ME","Sagadahoc+County,+ME",43.93432,-69.79305
"Somerset County, ME","Somerset+County,+ME",45.5757,-70.12586
"Waldo County, ME","Waldo+County,+ME",44.4787,-69.09247
"Washington County, ME","Washington+County,+ME",45.04161,-67.53842
"York County, ME","York+County,+ME",43.431,-70.67102
"Allegany County, MD","Allegany+County,+MD",39.58063,-78.59535
"Anne Arundel County, MD","Anne+Arundel+County,+MD",38.9743,-76.5431
"Baltimore County, MD","Baltimore+County,+MD",39.43891,-76.6364
"Calvert County, MD","Calvert+County,+MD",38.53717,-76.54721
"Caroline County, MD","Caroline+County,+MD",38.88936,-75.83572
"Carroll County, MD","Carroll+County,+MD",39.53465,-77.01306
"Cecil County, MD","Cecil+County,+MD",39.5418,-75.92751
"Charles County, MD","Charles+County,+MD",38.43927,-77.07013
"Dorchester County, MD","Dorchester+County,+MD",38.38146,-76.09826
"Frederick County, MD","Frederick+County,+MD",39.46987,-77.36804
"Garrett County, MD","Garrett+County,+MD",39.46231,-79.29479
"Harford County, MD","Harford+County,+MD",39.4878,-76.23423
"Howard County, MD","Howard+County,+MD",39.23637,-76.89347
"Kent County, MD","Kent+County,+MD",39.19904,-76.19957
"Montgomery County, MD","Montgomery+County,+MD",39.14428,-77.23844
"Prince George's County, MD","Prince+George's+County,+MD",38.83658,-76.84048
"Queen Anne's County, MD","Queen+Anne's+County,+MD",39.03463,-76.03893
"St. Mary's County, MD","St.+Mary's+County,+MD",38.20135,-76.55864
"Somerset County, MD","Somerset+County,+MD",38.09273,-75.80369
"Talbot County, MD","Talbot+County,+MD",38.75853,-76.22369
"Washington County, MD","Washington+County,+MD",39.52067,-77.72007
"Wicomico County, MD","Wicomico+County,+MD",38.38842,-75.58214
"Worcester County, MD","Worcester+County,+MD",38.22306,-75.36377
"Barnstable County, MA","Barnstable+County,+MA",41.77334,-70.26951
"Berkshire County, MA","Berkshire+County,+MA",42.39275,-73.20174
"Bristol County, MA","Bristol+County,+MA",41.75755,-71.07968
"Dukes County, MA","Dukes+County,+MA",41.34906,-70.75809
"Essex County, MA","Essex+County,+MA",42.63572,-70.90213
"Franklin County, MA","Franklin+County,+MA",42.52244,-72.56351
"Hampden County, MA","Hampden+County,+MA",42.17063,-72.62698
"Hampshire County, MA","Hampshire+County,+MA",42.36962,-72.71424
"Middlesex County, MA","Middlesex+County,+MA",42.44672,-71.28825
"Nantucket County, MA","Nantucket+County,+MA",41.42562,-70.15029
"Norfolk County, MA","Norfolk+County,+MA",42.15666,-71.20272
"Plymouth County, MA","Plymouth+County,+MA",41.96914,-70.8201
"Suffolk County, MA","Suffolk+County,+MA",42.33899,-71.00618
"Worcester County, MA","Worcester+County,+MA",42.36482,-71.9579
"Alcona County, MI","Alcona+County,+MI",44.68419,-83.12859
"Alger County, MI","Alger+County,+MI",46.98243,-86.49126
"Allegan County, MI","Allegan+County,+MI",42.59358,-86.31747
"Alpena County, MI","Alpena+County,+MI",45.03252,-83.16375
"Antrim County, MI","Antrim+County,+MI",45.01125,-85.14176
"Arenac County, MI","Arenac+County,+MI",44.00118,-83.80695
"Baraga County, MI","Baraga+County,+MI",46.80981,-88.36174
"Barry County, MI","Barry+County,+MI",42.59522,-85.3092
